tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
014,1651769344,    6300, 1805.316650,   20.000000,16485.496094, 1628.058838,14869.126953,   14.596978, 1615.426636, 1612.727051, 1537.910034, 1536.572388,      6300,         1048576,000,002,000001
015,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.001920,    0.000000,    0.256283,    0.000000,    0.000000,         0,         1048576,000,002,000001
000,    524288,       1,    0.162820,   20.000000,    0.250908,    0.248975,    0.000568,    0.005200,    0.250137,    0.502445,    0.237462,    0.238705,         1,         1048576,000,003,000001
001,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003103,    0.000000,    0.253863,    0.000000,    0.000000,         0,         1048576,000,003,000001
002,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.002150,    0.000000,    0.253463,    0.000000,    0.000000,         0,         1048576,000,003,000001
003,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003153,    0.000000,    0.251740,    0.000000,    0.000000,         0,         1048576,000,003,000001
004,1651769344,    6300, 1737.445679,   20.000000,16562.562500, 1607.979980,14962.913086,   14.460078, 1598.886963, 1592.540161, 1530.930298, 1525.979858,      6300,         1048576,000,003,000001
005,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003253,    0.000000,    0.256597,    0.000000,    0.000000,         0,         1048576,000,003,000001
006,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003227,    0.000000,    0.254193,    0.000000,    0.000000,         0,         1048576,000,003,000001
007,1653604352,    6307, 1733.750610,   20.000000,16652.259766, 1608.550659,15053.781250,   14.470877, 1597.974243, 1593.267456, 1530.118408, 1526.496460,      6308,         1048576,000,003,000001
008,    262144,       0,    0.000000,   20.000000,    0.000000,    0.000000,    0.000000,    0.003167,    0.000000,    0.256643,    0.000000,    0.000000,         0,         1048576,000,003,000001
009,1651769344,    6300, 1810.010620,   20.000000,16392.958984, 1625.610107,14776.425781,   14.590649, 1615.708862, 1610.148682, 1539.388672, 1534.917603,      6300,         1048576,000,003,000001
