tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
006,00000000,00597153,00003820,010,00353046,00015322,00000000,001024,000,001,00001024,00300353,01,0000019611871336,00000000,00000000,004,002,016,016,1
007,00000000,00595919,00003094,010,00353319,00015265,00000000,001024,000,001,00001024,00299430,01,0000019616774998,00000000,00000000,004,002,016,016,1
008,00000000,00596238,00002961,010,00353774,00015282,00000000,001024,000,001,00001024,00299522,01,0000019517295600,00000000,00000000,004,002,016,016,1
009,00000000,00598477,00003510,010,00354088,00015187,00000000,001024,000,001,00001024,00300637,01,0000019999506467,00000000,00000000,004,002,016,016,1
010,00000000,00596557,00004421,010,00353091,00015189,00000000,001024,000,001,00001024,00300677,01,0000019862979361,00000000,00000000,004,002,016,016,1
011,00000000,00596496,00008907,010,00352637,00015092,00000000,001024,000,001,00001024,00300076,01,0000019057152390,00000000,00000000,004,002,016,016,1
012,00000000,00597016,00004743,010,00350540,00015339,00000000,001024,000,001,00001024,00299234,01,0000019049435341,00000000,00000000,004,002,016,016,1
013,00000000,00597709,00003866,010,00351426,00015181,00000000,001024,000,001,00001024,00300691,01,0000019409274984,00000000,00000000,004,002,016,016,1
014,00000000,00570624,00005068,010,00339703,00014764,00000000,001024,000,001,00001024,00287622,01,0000002055821996,00000000,00000000,004,002,016,016,1
015,00000000,00595515,00002950,010,00354312,00015378,00000000,001024,000,001,00001024,00299561,01,0000018969960210,00000000,00000000,004,002,016,016,1
000,00000000,00703288,00004501,010,00401490,00018249,00000000,001024,001,001,00001024,00354228,01,0000019667686446,00000000,00000000,004,002,016,016,1
001,00000000,00703181,00004704,010,00401277,00018363,00000000,001024,001,001,00001024,00353552,01,0000019774905614,00000000,00000000,004,002,016,016,1
002,00000000,00702934,00003827,010,00400568,00018534,00000000,001024,001,001,00001024,00353569,01,0000019517913797,00000000,00000000,004,002,016,016,1
003,00000000,00702144,00003458,010,00400927,00018284,00000000,001024,001,001,00001024,00353235,01,0000019740191643,00000000,00000000,004,002,016,016,1
004,00000000,00702084,00015576,010,00399626,00018321,00000000,001024,001,001,00001024,00353173,01,0000019907652903,00000000,00000000,004,002,016,016,1
005,00000000,00702624,00003813,010,00398866,00018208,00000000,001024,001,001,00001024,00352973,01,0000019680213154,00000000,00000000,004,002,016,016,1
006,00000000,00702311,00004459,010,00397855,00018393,00000000,001024,001,001,00001024,00353217,01,0000019621511788,00000000,00000000,004,002,016,016,1
007,00000000,00671747,00003471,010,00382873,00017518,00000000,001024,001,001,00001024,00337667,01,0000001948826062,00000000,00000000,004,002,016,016,1
008,00000000,00700237,00003472,010,00399531,00018281,00000000,001024,001,001,00001024,00353017,01,0000019534195448,00000000,00000000,004,002,016,016,1
009,00000000,00701397,00004116,010,00399721,00018195,00000000,001024,001,001,00001024,00352738,01,0000019924842425,00000000,00000000,004,002,016,016,1
010,00000000,00700845,00005275,010,00398629,00018275,00000000,001024,001,001,00001024,00352539,01,0000019708375909,00000000,00000000,004,002,016,016,1
011,00000000,00699256,00010376,010,00399589,00018249,00000000,001024,001,001,00001024,00351603,01,0000019004655034,00000000,00000000,004,002,016,016,1
012,00000000,00703222,00005538,010,00399269,00018240,00000000,001024,001,001,00001024,00353233,01,0000018920665283,00000000,00000000,004,002,016,016,1
013,00000000,00700516,00004544,010,00398318,00018239,00000000,001024,001,001,00001024,00352287,01,0000018999550855,00000000,00000000,004,002,016,016,1
014,00000000,00701128,00005994,010,00399028,00018149,00000000,001024,001,001,00001024,00353177,01,0000018951825140,00000000,00000000,004,002,016,016,1
015,00000000,00702862,00003222,010,00400682,00018048,00000000,001024,001,001,00001024,00353114,01,0000018911667674,00000000,00000000,004,002,016,016,1
000,00000000,00119381,00000752,010,00085784,00001836,00000000,001024,002,001,00001024,00060155,01,0000021594766782,00000000,00000000,004,002,016,016,1
001,00000000,00119619,00000810,010,00083997,00001821,00000000,001024,002,001,00001024,00059970,01,0000021747075071,00000000,00000000,004,002,016,016,1
002,00000000,00119779,00000680,010,00083769,00001756,00000000,001024,002,001,00001024,00059976,01,0000021082120899,00000000,00000000,004,002,016,016,1
003,00000000,00120026,00000596,010,00083607,00001719,00000000,001024,002,001,00001024,00060027,01,0000021790350471,00000000,00000000,004,002,016,016,1
004,00000000,00119468,00002537,010,00085930,00001731,00000000,001024,002,001,00001024,00059802,01,0000021768266065,00000000,00000000,004,002,016,016,1
005,00000000,00119350,00000635,010,00084701,00001753,00000000,001024,002,001,00001024,00059678,01,0000020916463210,00000000,00000000,004,002,016,016,1
006,00000000,00119379,00000752,010,00084122,00001828,00000000,001024,002,001,00001024,00059859,01,0000021115456757,00000000,00000000,004,002,016,016,1
007,00000000,00119530,00000594,010,00084620,00001816,00000000,001024,002,001,00001024,00060163,01,0000021134104972,00000000,00000000,004,002,016,016,1
008,00000000,00119359,00000568,010,00084456,00001794,00000000,001024,002,001,00001024,00059709,01,0000021222687057,00000000,00000000,004,002,016,016,1
009,00000000,00119397,00000753,010,00085798,00001771,00000000,001024,002,001,00001024,00059896,01,0000021748730468,00000000,00000000,004,002,016,016,1
010,00000000,00119320,00000884,010,00085828,00001758,00000000,001024,002,001,00001024,00060125,01,0000021690887824,00000000,00000000,004,002,016,016,1
011,00000000,00119376,00001758,010,00085579,00001818,00000000,001024,002,001,00001024,00059930,01,0000021024340891,00000000,00000000,004,002,016,016,1
012,00000000,00119769,00000969,010,00084658,00001788,00000000,001024,002,001,00001024,00060128,01,0000020718017181,00000000,00000000,004,002,016,016,1
013,00000000,00119569,00000744,010,00084685,00001791,00000000,001024,002,001,00001024,00059866,01,0000020707092859,00000000,00000000,004,002,016,016,1
014,00000000,00119595,00001047,010,00084262,00001795,00000000,001024,002,001,00001024,00059829,01,0000020505694692,00000000,00000000,004,002,016,016,1
015,00000000,00119420,00000551,010,00085089,00001753,00000000,001024,002,001,00001024,00060051,01,0000020666561025,00000000,00000000,004,002,016,016,1
000,00000000,00209774,00001427,010,00154155,00003157,00000000,001024,003,001,00001024,00105554,01,0000021487911452,00000000,00000000,004,002,016,016,1
001,00000000,00209409,00001450,010,00152261,00003265,00000000,001024,003,001,00001024,00105032,01,0000021679034264,00000000,00000000,004,002,016,016,1
002,00000000,00209368,00001252,010,00151844,00003147,00000000,001024,003,001,00001024,00105143,01,0000021282323091,00000000,00000000,004,002,016,016,1
003,00000000,00209457,00001074,010,00151552,00003225,00000000,001024,003,001,00001024,00105332,01,0000021562832933,00000000,00000000,004,002,016,016,1
004,00000000,00209527,00004552,010,00153277,00003182,00000000,001024,003,001,00001024,00105076,01,0000021714628809,00000000,00000000,004,002,016,016,1
005,00000000,00209165,00001117,010,00153572,00003107,00000000,001024,003,001,00001024,00105102,01,0000021269435704,00000000,00000000,004,002,016,016,1
