tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio,colocated_access,non_colocated_access
014,00000000,00662050,00006847,010,00524610,00000000,00000000,001024,001,000,00001024,00333381,01,0000012761791420,00000000,00000000,004,004,016,016,1,0.99,050,303382,705935
015,00000000,00663740,00005604,010,00526329,00000000,00000000,001024,001,000,00001024,00333901,01,0000012787130880,00000000,00000000,004,004,016,016,1,0.99,050,303911,707749
000,00000000,00395553,00003881,010,00309391,00000000,00000000,001024,002,000,00001024,00199162,01,0000008530778750,00000000,00000000,004,004,016,016,1,0.99,050,93847,511410
001,00000000,00394752,00002855,010,00310500,00000000,00000000,001024,002,000,00001024,00199271,01,0000008488911840,00000000,00000000,004,004,016,016,1,0.99,050,93495,510954
002,00000000,00396347,00002780,010,00310877,00000000,00000000,001024,002,000,00001024,00200263,01,0000008533255977,00000000,00000000,004,004,016,016,1,0.99,050,94241,512500
003,00000000,00396703,00002573,010,00314716,00000000,00000000,001024,002,000,00001024,00199767,01,0000008371217706,00000000,00000000,004,004,016,016,1,0.99,050,94311,512539
004,00000000,00396590,00009353,010,00312912,00000000,00000000,001024,002,000,00001024,00199660,01,0000008503606781,00000000,00000000,004,004,016,016,1,0.99,050,93533,512968
005,00000000,00395924,00003561,010,00311484,00000000,00000000,001024,002,000,00001024,00199115,01,0000008504677334,00000000,00000000,004,004,016,016,1,0.99,050,93587,511936
006,00000000,00397546,00003911,010,00313579,00000000,00000000,001024,002,000,00001024,00199896,01,0000008525809897,00000000,00000000,004,004,016,016,1,0.99,050,94440,513490
007,00000000,00395197,00008699,010,00311353,00000000,00000000,001024,002,000,00001024,00199014,01,0000008517746176,00000000,00000000,004,004,016,016,1,0.99,050,93800,510733
008,00000000,00396205,00003805,010,00308914,00000000,00000000,001024,002,000,00001024,00199760,01,0000008133786231,00000000,00000000,004,004,016,016,1,0.99,050,93843,512781
009,00000000,00397222,00003032,010,00308969,00000000,00000000,001024,002,000,00001024,00199998,01,0000008198151052,00000000,00000000,004,004,016,016,1,0.99,050,94068,513877
010,00000000,00398032,00003688,010,00311776,00000000,00000000,001024,002,000,00001024,00200222,01,0000008867170818,00000000,00000000,004,004,016,016,1,0.99,050,93729,514613
011,00000000,00401248,00007007,010,00313826,00000000,00000000,001024,002,000,00001024,00201806,01,0000008629047698,00000000,00000000,004,004,016,016,1,0.99,050,95284,518382
012,00000000,00397353,00003831,010,00312767,00000000,00000000,001024,002,000,00001024,00200018,01,0000008568625814,00000000,00000000,004,004,016,016,1,0.99,050,94206,513799
013,00000000,00395758,00022696,010,00309006,00000000,00000000,001024,002,000,00001024,00199562,01,0000008535473368,00000000,00000000,004,004,016,016,1,0.99,050,93810,512216
014,00000000,00379147,00004098,010,00298650,00000000,00000000,001024,002,000,00001024,00190702,01,0000002718752000,00000000,00000000,004,004,016,016,1,0.99,050,90036,489736
015,00000000,00394981,00003383,010,00309841,00000000,00000000,001024,002,000,00001024,00198873,01,0000008483458772,00000000,00000000,004,004,016,016,1,0.99,050,93899,510003
000,00000000,00391830,00003874,010,00314493,00000000,00000000,001024,003,000,00001024,00197842,01,0000008457358128,00000000,00000000,004,004,016,016,1,0.99,050,102100,498161
001,00000000,00390946,00002702,010,00309913,00000000,00000000,001024,003,000,00001024,00197608,01,0000008397325399,00000000,00000000,004,004,016,016,1,0.99,050,102159,497069
002,00000000,00393880,00002837,010,00315031,00000000,00000000,001024,003,000,00001024,00198607,01,0000008372993655,00000000,00000000,004,004,016,016,1,0.99,050,102996,500017
003,00000000,00393085,00002529,010,00315318,00000000,00000000,001024,003,000,00001024,00198167,01,0000008425907445,00000000,00000000,004,004,016,016,1,0.99,050,102649,499046
004,00000000,00389507,00009429,010,00310564,00000000,00000000,001024,003,000,00001024,00196479,01,0000008373823327,00000000,00000000,004,004,016,016,1,0.99,050,101731,494688
005,00000000,00391711,00003521,010,00316831,00000000,00000000,001024,003,000,00001024,00197710,01,0000008360221618,00000000,00000000,004,004,016,016,1,0.99,050,102341,497512
006,00000000,00392613,00003720,010,00316588,00000000,00000000,001024,003,000,00001024,00197724,01,0000008342080615,00000000,00000000,004,004,016,016,1,0.99,050,102465,498110
007,00000000,00394090,00008721,010,00311385,00000000,00000000,001024,003,000,00001024,00198591,01,0000008483628285,00000000,00000000,004,004,016,016,1,0.99,050,102989,500168
008,00000000,00391005,00003729,010,00313882,00000000,00000000,001024,003,000,00001024,00197505,01,0000008395575505,00000000,00000000,004,004,016,016,1,0.99,050,101874,497435
009,00000000,00394449,00003000,010,00312832,00000000,00000000,001024,003,000,00001024,00198841,01,0000008492346499,00000000,00000000,004,004,016,016,1,0.99,050,103040,500540
010,00000000,00394517,00003782,010,00311464,00000000,00000000,001024,003,000,00001024,00198391,01,0000008627738740,00000000,00000000,004,004,016,016,1,0.99,050,102679,500765
011,00000000,00390622,00006875,010,00314720,00000000,00000000,001024,003,000,00001024,00197076,01,0000008403320428,00000000,00000000,004,004,016,016,1,0.99,050,102226,496028
012,00000000,00390783,00003774,010,00312555,00000000,00000000,001024,003,000,00001024,00196514,01,0000007974413606,00000000,00000000,004,004,016,016,1,0.99,050,102669,495046
013,00000000,00391583,00022282,010,00315353,00000000,00000000,001024,003,000,00001024,00197432,01,0000008110908315,00000000,00000000,004,004,016,016,1,0.99,050,102047,497066
014,00000000,00381431,00004102,010,00304210,00000000,00000000,001024,003,000,00001024,00192124,01,0000002712166691,00000000,00000000,004,004,016,016,1,0.99,050,100204,483537
015,00000000,00396990,00003313,010,00312635,00000000,00000000,001024,003,000,00001024,00199684,01,0000008463554819,00000000,00000000,004,004,016,016,1,0.99,050,102987,504552
