tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio,colocated_access,non_colocated_access
000,00000000,00746960,00007512,010,00410255,00000000,00000000,001024,003,000,00001024,00384675,01,0000014756940311,00000000,00000000,004,004,016,016,1,0000,050,268686,938130
001,00000000,00747802,00007540,010,00410297,00000000,00000000,001024,003,000,00001024,00385313,01,0000015825447408,00000000,00000000,004,004,016,016,1,0000,050,268948,939817
002,00000000,00754059,00007518,010,00414685,00000000,00000000,001024,003,000,00001024,00388735,01,0000015729895165,00000000,00000000,004,004,016,016,1,0000,050,272305,947773
003,00000000,00754171,00007439,010,00414914,00000000,00000000,001024,003,000,00001024,00389270,01,0000015782656818,00000000,00000000,004,004,016,016,1,0000,050,270862,949332
004,00000000,00757039,00006685,010,00417057,00000000,00000000,001024,003,000,00001024,00390840,01,0000015773540982,00000000,00000000,004,004,016,016,1,0000,050,272753,952838
005,00000000,00755628,00007864,010,00416225,00000000,00000000,001024,003,000,00001024,00389858,01,0000015740586756,00000000,00000000,004,004,016,016,1,0000,050,271232,950977
006,00000000,00753826,00006998,010,00414948,00000000,00000000,001024,003,000,00001024,00388819,01,0000015747163003,00000000,00000000,004,004,016,016,1,0000,050,271104,949175
007,00000000,00747099,00007467,010,00411502,00000000,00000000,001024,003,000,00001024,00385645,01,0000015807745464,00000000,00000000,004,004,016,016,1,0000,050,268882,939654
008,00000000,00748721,00007330,010,00410752,00000000,00000000,001024,003,000,00001024,00385455,01,0000015747229606,00000000,00000000,004,004,016,016,1,0000,050,267923,941617
009,00000000,00747654,00007412,010,00410459,00000000,00000000,001024,003,000,00001024,00385258,01,0000015776455205,00000000,00000000,004,004,016,016,1,0000,050,268375,940351
010,00000000,00746913,00007810,010,00411593,00000000,00000000,001024,003,000,00001024,00385405,01,0000015792840391,00000000,00000000,004,004,016,016,1,0000,050,267993,940382
011,00000000,00747352,00007696,010,00410505,00000000,00000000,001024,003,000,00001024,00384994,01,0000015243259252,00000000,00000000,004,004,016,016,1,0000,050,269114,940706
012,00000000,00752790,00007806,010,00412746,00000000,00000000,001024,003,000,00001024,00387078,01,0000015831350734,00000000,00000000,004,004,016,016,1,0000,050,270851,945345
013,00000000,00749767,00007894,010,00413229,00000000,00000000,001024,003,000,00001024,00387087,01,0000015752177105,00000000,00000000,004,004,016,016,1,0000,050,270012,943822
014,00000000,00730235,00007209,010,00401106,00000000,00000000,001024,003,000,00001024,00376431,01,0000004653930678,00000000,00000000,004,004,016,016,1,0000,050,262664,918643
015,00000000,00752133,00007464,010,00413123,00000000,00000000,001024,003,000,00001024,00387307,01,0000015731559631,00000000,00000000,004,004,016,016,1,0000,050,270417,945332
