tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
023,00000000,00376102,020,00254945,00000000,00000000,001024,000,001,00016384,00189401
024,00000000,00373904,020,00253401,00000000,00000000,001024,000,001,00016384,00188577
025,00000000,00375292,020,00253603,00000000,00000000,001024,000,001,00016384,00189100
026,00000000,00374144,020,00253863,00000000,00000000,001024,000,001,00016384,00188497
027,00000000,00375042,020,00254785,00000000,00000000,001024,000,001,00016384,00188366
028,00000000,00374363,020,00253653,00000000,00000000,001024,000,001,00016384,00188045
029,00000000,00375679,020,00254843,00000000,00000000,001024,000,001,00016384,00189237
030,00000000,00369555,020,00252380,00000000,00000000,001024,000,001,00016384,00185977
031,00000000,00375258,020,00255198,00000000,00000000,001024,000,001,00016384,00188506
000,00000000,00677508,020,00470925,00000000,00000000,001024,001,001,00016384,00340366
001,00000000,00678050,020,00468000,00000000,00000000,001024,001,001,00016384,00341359
002,00000000,00674961,020,00466619,00000000,00000000,001024,001,001,00016384,00340115
003,00000000,00680028,020,00468530,00000000,00000000,001024,001,001,00016384,00341878
004,00000000,00675201,020,00466059,00000000,00000000,001024,001,001,00016384,00339520
005,00000000,00672540,020,00464799,00000000,00000000,001024,001,001,00016384,00338185
006,00000000,00671127,020,00464562,00000000,00000000,001024,001,001,00016384,00337832
007,00000000,00678079,020,00467200,00000000,00000000,001024,001,001,00016384,00341140
008,00000000,00674865,020,00468635,00000000,00000000,001024,001,001,00016384,00339407
009,00000000,00674813,020,00466131,00000000,00000000,001024,001,001,00016384,00339433
010,00000000,00679404,020,00467274,00000000,00000000,001024,001,001,00016384,00341466
011,00000000,00671320,020,00465169,00000000,00000000,001024,001,001,00016384,00337940
012,00000000,00678027,020,00466244,00000000,00000000,001024,001,001,00016384,00340311
013,00000000,00672620,020,00466349,00000000,00000000,001024,001,001,00016384,00338598
014,00000000,00671535,020,00464074,00000000,00000000,001024,001,001,00016384,00337959
015,00000000,00679124,020,00468524,00000000,00000000,001024,001,001,00016384,00341518
016,00000000,00672868,020,00465149,00000000,00000000,001024,001,001,00016384,00338420
017,00000000,00677483,020,00469914,00000000,00000000,001024,001,001,00016384,00340732
018,00000000,00674986,020,00466066,00000000,00000000,001024,001,001,00016384,00339917
019,00000000,00672254,020,00464556,00000000,00000000,001024,001,001,00016384,00337783
020,00000000,00676519,020,00465395,00000000,00000000,001024,001,001,00016384,00340089
021,00000000,00674162,020,00465295,00000000,00000000,001024,001,001,00016384,00338784
022,00000000,00674766,020,00466634,00000000,00000000,001024,001,001,00016384,00339585
023,00000000,00675348,020,00468469,00000000,00000000,001024,001,001,00016384,00339624
024,00000000,00672598,020,00465195,00000000,00000000,001024,001,001,00016384,00338374
025,00000000,00676075,020,00465566,00000000,00000000,001024,001,001,00016384,00340065
026,00000000,00671947,020,00464341,00000000,00000000,001024,001,001,00016384,00339342
027,00000000,00674879,020,00467220,00000000,00000000,001024,001,001,00016384,00339534
028,00000000,00669838,020,00461868,00000000,00000000,001024,001,001,00016384,00336908
029,00000000,00683161,020,00469012,00000000,00000000,001024,001,001,00016384,00343503
030,00000000,00673484,020,00467588,00000000,00000000,001024,001,001,00016384,00340074
031,00000000,00674848,020,00466143,00000000,00000000,001024,001,001,00016384,00338873
000,00000000,00384151,020,00275261,00000000,00000000,001024,002,001,00016384,00193400
001,00000000,00389342,020,00279706,00000000,00000000,001024,002,001,00016384,00195837
002,00000000,00390470,020,00280623,00000000,00000000,001024,002,001,00016384,00196764
003,00000000,00384194,020,00275728,00000000,00000000,001024,002,001,00016384,00193617
004,00000000,00390158,020,00279369,00000000,00000000,001024,002,001,00016384,00196108
005,00000000,00388781,020,00278320,00000000,00000000,001024,002,001,00016384,00195719
006,00000000,00385479,020,00276194,00000000,00000000,001024,002,001,00016384,00194341
007,00000000,00386792,020,00276969,00000000,00000000,001024,002,001,00016384,00195235
008,00000000,00386377,020,00275915,00000000,00000000,001024,002,001,00016384,00194822
009,00000000,00387012,020,00277996,00000000,00000000,001024,002,001,00016384,00195560
010,00000000,00385904,020,00276344,00000000,00000000,001024,002,001,00016384,00194595
011,00000000,00388119,020,00277675,00000000,00000000,001024,002,001,00016384,00195248
012,00000000,00383793,020,00275970,00000000,00000000,001024,002,001,00016384,00193385
