tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate,zipfian,readRatio
002,00000000,01021795,01025128,010,00174657,00337830,00009351,001024,000,001,00000008,00512477,01,0000010107296789,00000000,00000000,001,001,016,016,1,0.99,050
003,00000000,01021271,01355032,010,00174458,00338240,00009340,001024,000,001,00000008,00512680,01,0000010251588564,00000000,00000000,001,001,016,016,1,0.99,050
004,00000000,01021874,00951857,010,00173923,00338587,00009433,001024,000,001,00000008,00512490,01,0000010140170492,00000000,00000000,001,001,016,016,1,0.99,050
005,00000000,01018231,00953579,010,00173500,00337941,00009422,001024,000,001,00000008,00511430,01,0000010333821199,00000000,00000000,001,001,016,016,1,0.99,050
006,00000000,01019490,00880263,010,00174109,00337808,00009361,001024,000,001,00000008,00511905,01,0000010173699163,00000000,00000000,001,001,016,016,1,0.99,050
007,00000000,01012128,01105023,010,00172114,00336737,00009231,001024,000,001,00000008,00508836,01,0000010409714021,00000000,00000000,001,001,016,016,1,0.99,050
008,00000000,01015993,00000000,010,00173596,00336703,00009345,001024,000,001,00000008,00510280,01,0000010167906608,00000000,00000000,001,001,016,016,1,0.99,050
009,00000000,01016427,00000000,010,00173500,00337016,00009282,001024,000,001,00000008,00510508,01,0000010301877844,00000000,00000000,001,001,016,016,1,0.99,050
010,00000000,01014512,00000000,010,00172853,00336653,00009220,001024,000,001,00000008,00509489,01,0000010354947079,00000000,00000000,001,001,016,016,1,0.99,050
011,00000000,01016154,00000000,010,00173509,00337387,00009316,001024,000,001,00000008,00510887,01,0000010176004329,00000000,00000000,001,001,016,016,1,0.99,050
012,00000000,01018482,00000000,010,00173615,00337109,00009355,001024,000,001,00000008,00510714,01,0000009795047507,00000000,00000000,001,001,016,016,1,0.99,050
013,00000000,01016221,00000000,010,00173867,00337121,00009413,001024,000,001,00000008,00510974,01,0000010276436020,00000000,00000000,001,001,016,016,1,0.99,050
014,00000000,01015740,00000000,010,00172635,00337014,00009452,001024,000,001,00000008,00509633,01,0000010273626332,00000000,00000000,001,001,016,016,1,0.99,050
015,00000000,00984272,00000000,010,00167639,00326184,00008925,001024,000,001,00000008,00493811,01,0000002565533968,00000000,00000000,001,001,016,016,1,0.99,050
000,00000000,00270439,00001515,010,00134405,00001266,00000978,001024,001,000,00001024,00135671,01,0000014633842304,00000000,00000000,002,001,016,016,0,0.99,050
001,00000000,00270131,00001448,010,00134429,00001266,00000970,001024,001,000,00001024,00135695,01,0000013990005525,00000000,00000000,002,001,016,016,0,0.99,050
002,00000000,00270192,00001287,010,00134332,00001264,00000991,001024,001,000,00001024,00135596,01,0000014602288354,00000000,00000000,002,001,016,016,0,0.99,050
003,00000000,00270381,00001683,010,00134032,00001244,00000965,001024,001,000,00001024,00135276,01,0000014588155274,00000000,00000000,002,001,016,016,0,0.99,050
004,00000000,00270320,00005851,010,00134136,00001296,00000978,001024,001,000,00001024,00135432,01,0000014572746855,00000000,00000000,002,001,016,016,0,0.99,050
005,00000000,00270070,00001340,010,00134421,00001312,00001027,001024,001,000,00001024,00135733,01,0000014571844121,00000000,00000000,002,001,016,016,0,0.99,050
006,00000000,00270090,00001420,010,00134263,00001225,00000969,001024,001,000,00001024,00135488,01,0000014576666837,00000000,00000000,002,001,016,016,0,0.99,050
007,00000000,00270426,00001809,010,00134508,00001211,00000918,001024,001,000,00001024,00135719,01,0000014525467673,00000000,00000000,002,001,016,016,0,0.99,050
008,00000000,00269970,00001678,010,00134063,00001241,00000964,001024,001,000,00001024,00135304,01,0000013767084764,00000000,00000000,002,001,016,016,0,0.99,050
009,00000000,00270442,00001447,010,00134457,00001276,00000997,001024,001,000,00001024,00135733,01,0000013976493705,00000000,00000000,002,001,016,016,0,0.99,050
010,00000000,00270404,00002261,010,00134363,00001200,00000926,001024,001,000,00001024,00135563,01,0000014634596790,00000000,00000000,002,001,016,016,0,0.99,050
011,00000000,00270420,00001773,010,00134489,00001197,00000952,001024,001,000,00001024,00135686,01,0000014537222629,00000000,00000000,002,001,016,016,0,0.99,050
012,00000000,00270496,00001837,010,00134741,00001255,00000973,001024,001,000,00001024,00135996,01,0000014638824115,00000000,00000000,002,001,016,016,0,0.99,050
013,00000000,00270530,00001506,010,00134528,00001231,00000963,001024,001,000,00001024,00135759,01,0000014650652432,00000000,00000000,002,001,016,016,0,0.99,050
014,00000000,00270642,00002545,010,00134400,00001211,00000939,001024,001,000,00001024,00135611,01,0000014526574620,00000000,00000000,002,001,016,016,0,0.99,050
015,00000000,00271073,00001809,010,00134836,00001283,00001024,001024,001,000,00001024,00136119,01,0000014567381720,00000000,00000000,002,001,016,016,0,0.99,050
