tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
001,00000000,00111025,010,00081103,00000879,00000498,001024,003,000,00000512,00055942,01,0000013140097072,00000000
002,00000000,00111184,010,00082433,00000876,00000479,001024,003,000,00000512,00055904,01,0000013735148662,00000000
003,00000000,00111487,010,00082952,00000871,00000456,001024,003,000,00000512,00056318,01,0000014228588554,00000000
004,00000000,00111285,010,00078993,00000899,00000476,001024,003,000,00000512,00056206,01,0000014314447500,00000000
005,00000000,00112471,010,00077754,00000917,00000526,001024,003,000,00000512,00056768,01,0000013495939394,00000000
006,00000000,00112271,010,00075929,00000885,00000476,001024,003,000,00000512,00056456,01,0000014418875476,00000000
007,00000000,00111003,010,00081179,00000879,00000502,001024,003,000,00000512,00056010,01,0000013715135825,00000000
008,00000000,00110493,010,00080853,00000894,00000475,001024,003,000,00000512,00055833,01,0000013271576286,00000000
009,00000000,00111222,010,00074788,00000939,00000469,001024,003,000,00000512,00055883,01,0000013422149687,00000000
010,00000000,00111237,010,00084212,00000885,00000443,001024,003,000,00000512,00055906,01,0000013948883307,00000000
011,00000000,00109076,010,00071931,00000889,00000456,001024,003,000,00000512,00055090,01,0000013286764961,00000000
012,00000000,00112985,010,00069648,00000928,00000459,001024,003,000,00000512,00057091,01,0000013400543438,00000000
013,00000000,00112200,010,00085580,00000903,00000470,001024,003,000,00000512,00056622,01,0000013368682664,00000000
014,00000000,00112246,010,00076651,00000901,00000466,001024,003,000,00000512,00056720,01,0000014424070114,00000000
015,00000000,00111186,010,00070471,00000920,00000525,001024,003,000,00000512,00056184,01,0000013568849624,00000000
