lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0000170,0000030,0001005,0005059,0005500,0004870,0000009,001024,001,001,00001024,01,004,002,016,016
0000000,0002043,0000401,0001168,0017603,0010079,0009528,0001065,001024,001,001,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0005059,0005470,0004859,0000044,001024,002,001,00001024,01,004,002,016,016
0000000,0001410,0000361,0001200,0016782,0009829,0009368,0000466,001024,002,001,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0005049,0005460,0004849,0000043,001024,003,001,00001024,01,004,002,016,016
0000000,0001407,0000351,0001199,0016781,0009828,0009358,0000464,001024,003,001,00001024,01,004,002,016,016
0000000,0000170,0000030,0001006,0006623,0006953,0006382,0000013,001024,000,002,00001024,01,004,002,016,016
0000000,0001578,0000461,0001101,0020769,0013726,0013325,0000586,001024,000,002,00001024,01,004,002,016,016
0000000,0000180,0000030,0001006,0005581,0005661,0005060,0000010,001024,001,002,00001024,01,004,002,016,016
0000000,0001666,0000400,0001147,0018515,0011451,0011021,0000664,001024,001,002,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0005460,0005660,0005059,0000046,001024,002,002,00001024,01,004,002,016,016
0000000,0001238,0000330,0001144,0017683,0010970,0010590,0000296,001024,002,002,00001024,01,004,002,016,016
0000000,0000170,0000030,0001005,0005460,0005651,0005059,0000046,001024,003,002,00001024,01,004,002,016,016
0000000,0001240,0000331,0001144,0017744,0011001,0010630,0000296,001024,003,002,00001024,01,004,002,016,016
0000000,0000521,0000061,0001004,0004309,0004879,0004098,0000010,001024,000,000,00001024,01,004,004,016,016
0000000,0002222,0000451,0001211,0020368,0010781,0009919,0001228,001024,000,000,00001024,01,004,004,016,016
0000000,0000531,0000070,0001008,0008877,0009527,0008756,0000010,001024,001,000,00001024,01,004,004,016,016
0000000,0002143,0000501,0001184,0021200,0011040,0010179,0001163,001024,001,000,00001024,01,004,004,016,016
0000000,0000521,0000061,0001008,0004479,0005039,0004288,0000011,001024,002,000,00001024,01,004,004,016,016
0000000,0002179,0000451,0001242,0020428,0010710,0009899,0001184,001024,002,000,00001024,01,004,004,016,016
0000000,0000521,0000070,0001008,0004469,0004990,0004248,0000011,001024,003,000,00001024,01,004,004,016,016
0000000,0002294,0000491,0001287,0020398,0010720,0009909,0001298,001024,003,000,00001024,01,004,004,016,016
0000000,0000531,0000061,0001004,0004198,0004739,0003977,0000010,001024,000,001,00001024,01,004,004,016,016
0000000,0002289,0000481,0001214,0019877,0010700,0009808,0001299,001024,000,001,00001024,01,004,004,016,016
0000000,0000531,0000070,0001004,0004298,0004809,0004107,0000010,001024,001,001,00001024,01,004,004,016,016
0000000,0002390,0000471,0001289,0019887,0010670,0009778,0001391,001024,001,001,00001024,01,004,004,016,016
0000000,0000531,0000061,0001008,0008936,0009578,0008807,0000011,001024,002,001,00001024,01,004,004,016,016
0000000,0002085,0000461,0001178,0021170,0011041,0010229,0001107,001024,002,001,00001024,01,004,004,016,016
0000000,0000531,0000061,0001004,0004368,0004920,0004218,0000011,001024,003,001,00001024,01,004,004,016,016
0000000,0002216,0000461,0001240,0019998,0010620,0009788,0001226,001024,003,001,00001024,01,004,004,016,016
0000000,0000531,0000070,0001004,0004208,0004749,0003988,0000010,001024,000,002,00001024,01,004,004,016,016
0000000,0002264,0000471,0001210,0020409,0010720,0009829,0001275,001024,000,002,00001024,01,004,004,016,016
