tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
011,00000000,01195197,00125244,010,00600655,00000000,00000000,001024,000,000,00000128,00600342,01,0000020337621051,00000000,00000000,001,002,016,016
012,00000000,01202320,00142179,010,00604745,00000000,00000000,001024,000,000,00000128,00604444,01,0000020206211465,00000000,00000000,001,002,016,016
013,00000000,01202236,00108695,010,00604472,00000000,00000000,001024,000,000,00000128,00604159,01,0000020437341246,00000000,00000000,001,002,016,016
014,00000000,01123974,00131650,010,00564598,00000000,00000000,001024,000,000,00000128,00564345,01,0000002559383448,00000000,00000000,001,002,016,016
015,00000000,01201207,00357193,010,00604350,00000000,00000000,001024,000,000,00000128,00604031,01,0000020121833409,00000000,00000000,001,002,016,016
000,00000000,01218009,00282189,010,00612352,00000000,00000000,001024,000,001,00000128,00612039,01,0000020423182612,00000000,00000000,001,002,016,016
001,00000000,01218284,00132177,010,00612093,00000000,00000000,001024,000,001,00000128,00611805,01,0000020756378524,00000000,00000000,001,002,016,016
002,00000000,01223157,00160953,010,00615016,00000000,00000000,001024,000,001,00000128,00614720,01,0000020539908324,00000000,00000000,001,002,016,016
003,00000000,01200929,00115021,010,00603535,00000000,00000000,001024,000,001,00000128,00603205,01,0000020892419456,00000000,00000000,001,002,016,016
004,00000000,01198661,00203031,010,00602372,00000000,00000000,001024,000,001,00000128,00602068,01,0000020013982009,00000000,00000000,001,002,016,016
005,00000000,01196201,00129845,010,00600694,00000000,00000000,001024,000,001,00000128,00600376,01,0000020534864855,00000000,00000000,001,002,016,016
006,00000000,01199471,00122312,010,00602745,00000000,00000000,001024,000,001,00000128,00602443,01,0000020134505158,00000000,00000000,001,002,016,016
007,00000000,01199731,00135933,010,00603108,00000000,00000000,001024,000,001,00000128,00602763,01,0000020104715481,00000000,00000000,001,002,016,016
008,00000000,01195093,00134311,010,00601295,00000000,00000000,001024,000,001,00000128,00600995,01,0000020044738971,00000000,00000000,001,002,016,016
009,00000000,01195762,00118854,010,00600836,00000000,00000000,001024,000,001,00000128,00600517,01,0000020673262768,00000000,00000000,001,002,016,016
010,00000000,01198359,00118854,010,00602324,00000000,00000000,001024,000,001,00000128,00602019,01,0000020460260914,00000000,00000000,001,002,016,016
