tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
012,00000000,00100157,010,00049965,00000000,00000000,001024,002,000,00016384,00049965,02,0000000008025944,00003171
013,00000000,00102859,010,00052027,00000000,00000000,001024,002,000,00016384,00052027,02,0000000005823699,00003392
014,00000000,00105105,010,00052729,00000000,00000000,001024,002,000,00016384,00052729,02,0000000006308970,00003297
015,00000000,00105147,010,00052893,00000000,00000000,001024,002,000,00016384,00052893,02,0000000005729073,00003291
016,00000000,00104078,010,00052305,00000000,00000000,001024,002,000,00016384,00052305,02,0000000006073743,00003348
017,00000000,00104853,010,00052801,00000000,00000000,001024,002,000,00016384,00052801,02,0000000006042226,00003333
018,00000000,00105260,010,00052903,00000000,00000000,001024,002,000,00016384,00052903,02,0000000006109853,00003268
019,00000000,00104537,010,00052474,00000000,00000000,001024,002,000,00016384,00052474,02,0000000005941975,00003264
020,00000000,00106622,010,00053485,00000000,00000000,001024,002,000,00016384,00053485,02,0000000005945910,00003333
021,00000000,00106277,010,00053164,00000000,00000000,001024,002,000,00016384,00053164,02,0000000005932386,00003301
022,00000000,00103924,010,00052220,00000000,00000000,001024,002,000,00016384,00052220,02,0000000006034059,00003320
023,00000000,00099511,010,00050174,00000000,00000000,001024,002,000,00016384,00050174,02,0000000008481741,00003160
024,00000000,00099709,010,00049556,00000000,00000000,001024,002,000,00016384,00049556,02,0000000007243341,00003155
025,00000000,00099790,010,00050017,00000000,00000000,001024,002,000,00016384,00050017,02,0000000007549961,00003173
026,00000000,00098952,010,00049886,00000000,00000000,001024,002,000,00016384,00049886,02,0000000007442655,00003113
027,00000000,00098002,010,00048913,00000000,00000000,001024,002,000,00016384,00048913,02,0000000006941811,00003192
028,00000000,00099822,010,00050334,00000000,00000000,001024,002,000,00016384,00050334,02,0000000006441326,00003124
029,00000000,00100399,010,00050248,00000000,00000000,001024,002,000,00016384,00050248,02,0000000006610698,00003117
030,00000000,00098386,010,00049752,00000000,00000000,001024,002,000,00016384,00049752,02,0000000006836871,00003183
031,00000000,00098952,010,00049775,00000000,00000000,001024,002,000,00016384,00049775,02,0000000006623556,00003220
000,00000000,00050122,010,00025289,00000000,00000000,001024,003,000,00016384,00025289,02,0000000004181251,00002329
001,00000000,00049821,010,00025041,00000000,00000000,001024,003,000,00016384,00025041,02,0000000003936885,00002397
002,00000000,00049677,010,00024874,00000000,00000000,001024,003,000,00016384,00024874,02,0000000005904083,00002296
003,00000000,00049659,010,00024882,00000000,00000000,001024,003,000,00016384,00024882,02,0000000005800441,00002340
004,00000000,00049859,010,00025164,00000000,00000000,001024,003,000,00016384,00025164,02,0000000004032692,00002326
005,00000000,00049625,010,00024778,00000000,00000000,001024,003,000,00016384,00024778,02,0000000005955327,00002308
006,00000000,00049816,010,00025077,00000000,00000000,001024,003,000,00016384,00025077,02,0000000004056921,00002360
007,00000000,00049551,010,00024814,00000000,00000000,001024,003,000,00016384,00024814,02,0000000005354057,00002275
008,00000000,00049999,010,00025147,00000000,00000000,001024,003,000,00016384,00025147,02,0000000004352870,00002265
009,00000000,00049605,010,00025001,00000000,00000000,001024,003,000,00016384,00025001,02,0000000006126225,00002282
010,00000000,00050006,010,00025088,00000000,00000000,001024,003,000,00016384,00025088,02,0000000004540145,00002364
011,00000000,00049548,010,00024804,00000000,00000000,001024,003,000,00016384,00024804,02,0000000005855492,00002371
012,00000000,00049921,010,00025171,00000000,00000000,001024,003,000,00016384,00025171,02,0000000004861792,00002344
013,00000000,00049436,010,00024839,00000000,00000000,001024,003,000,00016384,00024839,02,0000000005784438,00002318
014,00000000,00049920,010,00024938,00000000,00000000,001024,003,000,00016384,00024938,02,0000000004308362,00002432
015,00000000,00049676,010,00024907,00000000,00000000,001024,003,000,00016384,00024907,02,0000000005855762,00002258
016,00000000,00049894,010,00025036,00000000,00000000,001024,003,000,00016384,00025036,02,0000000004680864,00002373
017,00000000,00049480,010,00024805,00000000,00000000,001024,003,000,00016384,00024805,02,0000000006718196,00002350
018,00000000,00049959,010,00024901,00000000,00000000,001024,003,000,00016384,00024901,02,0000000004488989,00002309
019,00000000,00049584,010,00024916,00000000,00000000,001024,003,000,00016384,00024916,02,0000000005843113,00002351
020,00000000,00049700,010,00025092,00000000,00000000,001024,003,000,00016384,00025092,02,0000000004221620,00002390
021,00000000,00049358,010,00024816,00000000,00000000,001024,003,000,00016384,00024816,02,0000000005346096,00002314
022,00000000,00050165,010,00025213,00000000,00000000,001024,003,000,00016384,00025213,02,0000000004472318,00002324
023,00000000,00049511,010,00024994,00000000,00000000,001024,003,000,00016384,00024994,02,0000000006165401,00002367
024,00000000,00049969,010,00025119,00000000,00000000,001024,003,000,00016384,00025119,02,0000000004539951,00002290
025,00000000,00049838,010,00025104,00000000,00000000,001024,003,000,00016384,00025104,02,0000000004748219,00002347
026,00000000,00049529,010,00024818,00000000,00000000,001024,003,000,00016384,00024818,02,0000000006502306,00002366
027,00000000,00049468,010,00024686,00000000,00000000,001024,003,000,00016384,00024686,02,0000000006173462,00002358
028,00000000,00049817,010,00025156,00000000,00000000,001024,003,000,00016384,00025156,02,0000000004918431,00002302
029,00000000,00049548,010,00024884,00000000,00000000,001024,003,000,00016384,00024884,02,0000000005685525,00002299
030,00000000,00049772,010,00025085,00000000,00000000,001024,003,000,00016384,00025085,02,0000000004476621,00002371
031,00000000,00049593,010,00024828,00000000,00000000,001024,003,000,00016384,00024828,02,0000000006061427,00002303
000,00000000,00099960,010,00050459,00000000,00000000,001024,000,001,00016384,00050459,02,0000000013168906,00003091
001,00000000,00100158,010,00050490,00000000,00000000,001024,000,001,00016384,00050490,02,0000000011451183,00003040
002,00000000,00102436,010,00051710,00000000,00000000,001024,000,001,00016384,00051710,02,0000000012256146,00003134
003,00000000,00104390,010,00052414,00000000,00000000,001024,000,001,00016384,00052414,02,0000000012393452,00003136
004,00000000,00103299,010,00052196,00000000,00000000,001024,000,001,00016384,00052196,02,0000000015548021,00003101
005,00000000,00103499,010,00051961,00000000,00000000,001024,000,001,00016384,00051961,02,0000000012282498,00003177
006,00000000,00096497,010,00048626,00000000,00000000,001024,000,001,00016384,00048626,02,0000000015022874,00003142
007,00000000,00103367,010,00052005,00000000,00000000,001024,000,001,00016384,00052005,02,0000000013172675,00003183
008,00000000,00101046,010,00050833,00000000,00000000,001024,000,001,00016384,00050833,02,0000000015410066,00003127
009,00000000,00102278,010,00051577,00000000,00000000,001024,000,001,00016384,00051577,02,0000000012684814,00003119
010,00000000,00099295,010,00050111,00000000,00000000,001024,000,001,00016384,00050111,02,0000000016005786,00003109
011,00000000,00104791,010,00052539,00000000,00000000,001024,000,001,00016384,00052539,02,0000000013219716,00003156
012,00000000,00099271,010,00050379,00000000,00000000,001024,000,001,00016384,00050379,02,0000000014430261,00003078
013,00000000,00101072,010,00050721,00000000,00000000,001024,000,001,00016384,00050721,02,0000000011991035,00003107
014,00000000,00101371,010,00050755,00000000,00000000,001024,000,001,00016384,00050755,02,0000000015004480,00003073
015,00000000,00102789,010,00051597,00000000,00000000,001024,000,001,00016384,00051597,02,0000000012123372,00003129
016,00000000,00102174,010,00051428,00000000,00000000,001024,000,001,00016384,00051428,02,0000000015129768,00003142
017,00000000,00101315,010,00051023,00000000,00000000,001024,000,001,00016384,00051023,02,0000000012474341,00003115
018,00000000,00104129,010,00052244,00000000,00000000,001024,000,001,00016384,00052244,02,0000000014214354,00003117
019,00000000,00102629,010,00051817,00000000,00000000,001024,000,001,00016384,00051817,02,0000000012607682,00003092
020,00000000,00099854,010,00050397,00000000,00000000,001024,000,001,00016384,00050397,02,0000000015508390,00003112
