tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq, lwait_rel,gwait_acq,gwait_rel,array_size(B),client_id,run
004,         0,       0,    0.000010,    0.000000,    0.396113,    0.022849,    0.372371,    0.000067,    0.023674,    0.022725,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.390163,    0.023262,    0.366640,    0.000063,    0.023452,    0.023136,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.396605,    0.022564,    0.373121,    0.000072,    0.023358,    0.022424,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.389654,    0.022478,    0.366774,    0.000067,    0.022802,    0.022349,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.390979,    0.044933,    0.367866,    0.000068,    0.023044,    0.044791,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    3.583543,    0.024712,    3.554621,    0.000073,    0.028849,    0.024571,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.399238,    0.023005,    0.371573,    0.000068,    0.027586,    0.022811,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.402546,    0.022798,    0.376277,    0.000072,    0.026201,    0.022667,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.400402,    0.022857,    0.373002,    0.000070,    0.027329,    0.022718,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.428179,    0.022446,    0.402885,    0.000070,    0.025227,    0.022306,         0,               0,000,000
004,         0,       0,    0.000007,    0.000000,    0.417048,    0.023216,    0.392238,    0.000071,    0.024674,    0.023085,         0,               0,000,000
004,         0,       0,    0.000010,    0.000000,    0.393667,    0.047392,    0.368984,    0.000070,    0.024616,    0.047264,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    6.628818,    0.029219,    6.588943,    0.000284,    0.039606,    0.028788,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.431655,    0.028437,    0.401831,    0.000152,    0.029671,    0.028199,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.395947,    0.027661,    0.365841,    0.000138,    0.030029,    0.027442,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.427118,    0.027562,    0.397039,    0.000145,    0.029959,    0.027328,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.391496,    0.028029,    0.362109,    0.000108,    0.029293,    0.027838,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.392000,    0.027461,    0.362070,    0.000133,    0.029848,    0.027190,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.403526,    0.031346,    0.354660,    0.000228,    0.048787,    0.030934,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.387135,    0.031457,    0.353535,    0.000138,    0.033497,    0.031217,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.386569,    0.028615,    0.353857,    0.000114,    0.032543,    0.028402,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.385197,    0.028538,    0.352145,    0.000116,    0.032916,    0.028348,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.390967,    0.028195,    0.357552,    0.000137,    0.033246,    0.027959,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.383693,    0.027402,    0.350520,    0.000133,    0.033065,    0.027185,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.404911,    0.026550,    0.375322,    0.000159,    0.029492,    0.026304,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    3.583289,    0.027287,    3.552182,    0.000194,    0.030987,    0.026956,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.393605,    0.027181,    0.363692,    0.000153,    0.029827,    0.026940,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.398252,    0.027126,    0.368295,    0.000141,    0.029861,    0.026906,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.396285,    0.032107,    0.366171,    0.000216,    0.030043,    0.031728,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.418821,    0.031219,    0.388388,    0.000196,    0.030273,    0.030868,         0,               0,000,000
005,         0,       0,    0.000010,    0.000000,    0.411888,    0.028253,    0.378715,    0.000120,    0.033007,    0.028033,         0,               0,000,000
005,         0,       0,    0.000007,    0.000000,    0.409378,    0.027071,    0.379585,    0.000111,    0.029700,    0.026873,         0,               0,000,000
006,         0,       0,    0.000055,    0.000000,    6.766159,    0.025883,    6.728219,    0.000233,    0.037688,    0.025523,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.409169,    0.024472,    0.382268,    0.000131,    0.026816,    0.024276,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.396873,    0.032884,    0.367098,    0.000131,    0.029678,    0.032675,         0,               0,000,000
006,         0,       0,    0.000010,    0.000000,    0.422491,    0.024155,    0.396005,    0.000090,    0.026381,    0.023977,         0,               0,000,000
