lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover,colocate
0000000,0001847,0000521,0001194,0005821,0006662,0005881,0000849,001024,003,001,00001024,01,004,004,016,016,1
0000000,0000511,0000070,0001003,0003937,0004688,0003987,0000009,001024,000,002,00001024,01,004,004,016,016,1
0000000,0001887,0000511,0001165,0005902,0006863,0006071,0000893,001024,000,002,00001024,01,004,004,016,016,1
0000000,0000501,0000070,0001004,0004038,0004779,0004088,0000009,001024,001,002,00001024,01,004,004,016,016,1
0000000,0001859,0000491,0001178,0005791,0006653,0005891,0000862,001024,001,002,00001024,01,004,004,016,016,1
0000000,0000501,0000080,0001004,0004037,0004789,0004087,0000009,001024,002,002,00001024,01,004,004,016,016,1
0000000,0001237,0000551,0001087,0005811,0006722,0005851,0000244,001024,002,002,00001024,01,004,004,016,016,1
0000000,0000501,0000070,0001003,0004118,0004829,0004158,0000009,001024,003,002,00001024,01,004,004,016,016,1
0000000,0001826,0000511,0001195,0005801,0006623,0005881,0000830,001024,003,002,00001024,01,004,004,016,016,1
0000000,0000511,0000080,0001003,0003907,0004648,0003957,0000009,001024,000,000,00000128,01,004,004,016,016,1
0000000,0001900,0000591,0001168,0005861,0006813,0006022,0000904,001024,000,000,00000128,01,004,004,016,016,1
0000000,0000511,0000071,0001003,0004047,0004779,0004097,0000009,001024,001,000,00000128,01,004,004,016,016,1
0000000,0001863,0000551,0001167,0005771,0006622,0005841,0000866,001024,001,000,00000128,01,004,004,016,016,1
0000000,0000511,0000070,0001003,0004017,0004779,0004078,0000009,001024,002,000,00000128,01,004,004,016,016,1
0000000,0001226,0000551,0001080,0005750,0006633,0005800,0000234,001024,002,000,00000128,01,004,004,016,016,1
0000000,0000511,0000080,0001004,0004148,0004849,0004198,0000009,001024,003,000,00000128,01,004,004,016,016,1
0000000,0001801,0000571,0001177,0005791,0006593,0005871,0000803,001024,003,000,00000128,01,004,004,016,016,1
0000000,0000501,0000070,0001003,0003917,0004679,0003958,0000009,001024,000,001,00000128,01,004,004,016,016,1
0000000,0001997,0000531,0001182,0005741,0006693,0005891,0001001,001024,000,001,00000128,01,004,004,016,016,1
0000000,0000511,0000070,0001003,0003958,0004738,0004017,0000009,001024,001,001,00000128,01,004,004,016,016,1
0000000,0001286,0000551,0001078,0005631,0006573,0005691,0000293,001024,001,001,00000128,01,004,004,016,016,1
0000000,0000511,0000070,0001004,0004158,0004869,0004208,0000009,001024,002,001,00000128,01,004,004,016,016,1
0000000,0001920,0000531,0001187,0005691,0006512,0005771,0000925,001024,002,001,00000128,01,004,004,016,016,1
0000000,0000511,0000070,0001004,0004148,0004859,0004197,0000009,001024,003,001,00000128,01,004,004,016,016,1
0000000,0001942,0000541,0001188,0005690,0006502,0005771,0000940,001024,003,001,00000128,01,004,004,016,016,1
0000000,0000501,0000061,0001003,0003917,0004689,0003967,0000009,001024,000,002,00000128,01,004,004,016,016,1
0000000,0002032,0000521,0001183,0005660,0006632,0005791,0001037,001024,000,002,00000128,01,004,004,016,016,1
0000000,0000511,0000070,0001003,0003957,0004729,0004008,0000009,001024,001,002,00000128,01,004,004,016,016,1
0000000,0001301,0000551,0001078,0005561,0006513,0005621,0000307,001024,001,002,00000128,01,004,004,016,016,1
0000000,0000511,0000070,0001004,0004148,0004869,0004188,0000009,001024,002,002,00000128,01,004,004,016,016,1
0000000,0001960,0000541,0001200,0005641,0006462,0005701,0000963,001024,002,002,00000128,01,004,004,016,016,1
0000000,0000501,0000070,0001004,0004147,0004850,0004188,0000009,001024,003,002,00000128,01,004,004,016,016,1
